user_id,name,age,profession,education,experience_years,skills,learning_style,interests,country
U1,Karen Phillips,26,Software Engineer,High School,13,"Python, C++",Self-paced,"Robotics, Manufacturing",India
U2,John Fox,44,ML Engineer,PhD,8,"Cloud Computing, Machine Learning",Self-paced,"Finance, Robotics, Social Media",Japan
U3,Kevin Long,39,Software Engineer,High School,12,"Blockchain, Data Science, Deep Learning",Self-paced,Robotics,UK
U4,Rachel Johnson,42,Software Engineer,Master's,11,"Web Development, DevOps, Python, C++",Hybrid,"Manufacturing, Healthcare",USA
U5,Laura Richardson,23,ML Engineer,High School,12,"Java, AI",Instructor-led,E-commerce,Germany
U6,Shannon Mahoney,28,Business Analyst,Bachelor's,5,"Data Science, Computer Vision, NLP, Machine Learning",Instructor-led,"E-commerce, Healthcare, Manufacturing",Germany
U7,Daniel Kaiser,20,Cybersecurity Specialist,PhD,8,"Cybersecurity, AI, Data Science, DevOps",Self-paced,Robotics,USA
U8,Deborah Perez,26,ML Engineer,Master's,13,"AI, Machine Learning, Computer Vision, Cybersecurity, Cloud Computing, Blockchain",Hybrid,"Gaming, E-commerce",Germany
U9,James Smith,25,Data Analyst,Bachelor's,13,"Cybersecurity, SQL, Web Development, Computer Vision",Hybrid,Finance,India
U10,Jason Alexander,35,Cybersecurity Specialist,High School,9,"DevOps, Mobile Dev, Cybersecurity, Web Development, Deep Learning",Instructor-led,"Finance, Healthcare, Social Media",USA
U11,Cindy Hawkins,24,Cloud Architect,Bachelor's,4,"Python, C++, NLP, Deep Learning, Web Development",Instructor-led,Manufacturing,Japan
U12,Jaime Ball,41,Cloud Architect,Bachelor's,1,"Python, Mobile Dev, Data Science",Self-paced,"Finance, Healthcare",Canada
U13,Kimberly Perez,26,Web Developer,Bachelor's,8,"SQL, C++",Hybrid,"Healthcare, Gaming",Japan
U14,Megan Daniel,41,Web Developer,PhD,3,"Blockchain, Machine Learning, Web Development, DevOps, C++, NLP",Self-paced,"E-commerce, Autonomous Systems, Social Media",USA
U15,Melissa Jones,32,Student,High School,1,"AI, Python",Self-paced,"Manufacturing, Robotics, E-commerce",India
U16,Carrie Holloway,49,ML Engineer,Bachelor's,15,"AI, Java",Self-paced,"Robotics, E-commerce, Social Media",Japan
U17,Jennifer Lee,44,Web Developer,High School,3,"Blockchain, Machine Learning, Java, Computer Vision, AI",Self-paced,"Social Media, Autonomous Systems",Germany
